  CancelPendingBuild                       0x10175ea0   [esp+0x370]
  CanClearPendingBuild                     0x101748d0   [esp+0x378]
  ClearPendingBuild                        0x10175ef0   [esp+0x380]
  GetPendingSummary                        0x101799d0   [esp+0x388]
  IsPending                                0x1017caf0   [esp+0x390]
  IsPendingEntryID                         0x1017cbd0   [esp+0x398]
  GetPendingRankByEntryID                  0x10179860   [esp+0x3a0]
  GetPendingGlobalAEInvestment             0x101797e0   [esp+0x3a8]
  GetPendingClassAEInvestment              0x101795b0   [esp+0x3b0]
  GetPendingTabAEInvestment                0x10179b70   [esp+0x3b8]
  GetPendingGlobalTEInvestment             0x10179820   [esp+0x3c0]
  GetPendingClassTEInvestment              0x10179690   [esp+0x3c8]
  GetPendingClassPointInvestment           0x10179620   [esp+0x3e4]
  GetPendingExpectedAE                     0x10179700   [esp+0x3ec]
  GetPendingExpectedTE                     0x10179770   [esp+0x3f4]
  GetPendingRemainingAE                    0x10179950   [esp+0x3fc]
  GetPendingRemainingTE                    0x10179990   [esp+0x404]
  ClearPendingBuildByTab                   0x10176030   [esp+0x40c]
  GetLowestInvestmentRequired              0x10179180   [esp+0x414]
  GetActiveChrSpec                         0x101763c0   [esp+0x41c]
  CanSwitchActiveChrSpec                   0x10175190   [esp+0x424]
  SwitchActiveChrSpec                      0x1017f700   [esp+0x42c]
  IsConnectionAllowed                      0x1017c640   [esp+0x434]
  IsActiveBuildAvailable                   0x1017c610   [esp+0x43c]
  IsPendingBuildAvailable                  0x1017cba0   [esp+0x444]
  IsSpellIDKnown                           0x1017cc90   [esp+0x10]
